"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1943.0,"",3126.0,"",36.832,11.283,4,"","",1995.0,5.0,16.0,117.0,12,117.0,21,117.0,26,3,30118,0.10256410256410256,0.1794871794871795,0.2222222222222222,0.4030918641465327
"ETH","ET","","",3194.0,"",35.115,9.884,4,"","",1982.0,0.0,99.0,102.0,29,102.0,10,102.0,1,3,28780,0.28431372549019607,0.09803921568627451,0.00980392156862745,0.340384606905082
"ETH","ET",1948.0,3132.0,18823.0,52245.0,39.836201,6.3174700999999995,3,"","",2009.0,"","",107.0,15,107.0,2,107.0,7,1,5137,0.14018691588785046,0.018691588785046728,0.06542056074766354,0.1994870291730537
"ETH","ET",1943.0,3171.0,18602.0,"",37.46667,12.6,4,"","",2008.0,5.0,20.0,505.0,10,505.0,51,505.0,7,1,28789,0.019801980198019802,0.100990099009901,0.013861386138613862,0.12359154321507766
"ETH","ET",1948.0,3132.0,18823.0,52246.0,37.9056665,14.7788638,1,"","",2009.0,"","",107.0,15,107.0,2,107.0,7,1,5138,0.14018691588785046,0.018691588785046728,0.06542056074766354,0.1994870291730537
"ETH","ET",1948.0,3132.0,18785.0,52195.0,40.244499,6.8402901,3,"","",2009.0,"","",106.0,52,106.0,4,106.0,17,1,5119,0.49056603773584906,0.03773584905660377,0.16037735849056603,0.5551024075718576
"ETH","ET",1948.0,3132.0,18785.0,52195.0,40.244499,6.8402901,3,"","",2009.0,"","",107.0,52,107.0,4,107.0,17,1,5118,0.48598130841121495,0.037383177570093455,0.1588785046728972,0.5507646485539613
"ETH","ET",1948.0,3151.0,18945.0,52424.0,39.565498,5.3181901,3,"","",2009.0,"","",106.0,4,106.0,4,106.0,4,1,5192,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.10282009423760098
"ETH","ET",1948.0,3151.0,18945.0,52424.0,39.565498,5.3181901,3,"","",2009.0,"","",95.0,4,95.0,3,95.0,2,1,5194,0.042105263157894736,0.031578947368421054,0.021052631578947368,0.08668296990319838
"ETH","ET",1943.0,3171.0,18602.0,"",37.300999,12.234,3,"","",1995.0,5.0,16.0,120.0,33,120.0,85,120.0,32,3,30120,0.275,0.7083333333333334,0.26666666666666666,0.7971042976939202
"ETH","ET",1943.0,3171.0,18602.0,"",37.29453,12.238523,3,"","",2012.0,"","",261.0,13,261.0,104,261.0,16,1,29524,0.04980842911877394,0.39846743295019155,0.06130268199233716,0.43723365202337844
"ETH","ET",1948.0,3189.0,18816.0,52234.0,40.420399,8.5640802,3,"","",2009.0,"","",110.0,58,110.0,1,110.0,0,1,5131,0.5272727272727272,0.00909090909090909,0.0,0.5014813659753624
"ETH","ET",1943.0,3171.0,18602.0,"",37.365002,12.368,3,"","",1995.0,5.0,16.0,94.0,26,94.0,28,94.0,9,3,30115,0.2765957446808511,0.2978723404255319,0.09574468085106383,0.5101025529843153
"ETH","ET",1948.0,3181.0,19332.0,52333.0,37.955601,8.4753599,3,"","",2009.0,"","",97.0,56,97.0,1,97.0,0,1,5153,0.5773195876288659,0.010309278350515464,0.0,0.5487519977861419
"ETH","ET",1943.0,3171.0,18602.0,"",37.566002,11.783,3,"","",1995.0,7.0,19.0,120.0,40,120.0,61,120.0,24,3,31530,0.3333333333333333,0.5083333333333333,0.2,0.6960167714884694
"ETH","ET",1948.0,3151.0,19027.0,52524.0,39.327599,5.83603,3,"","",2009.0,"","",105.0,61,105.0,1,105.0,0,1,5246,0.580952380952381,0.009523809523809525,0.0,0.5518333119411286
"ETH","ET",1948.0,3151.0,19027.0,52525.0,39.327599,5.83603,3,"","",2009.0,"","",105.0,61,105.0,1,105.0,0,1,5247,0.580952380952381,0.009523809523809525,0.0,0.5518333119411286
"ETH","ET",1948.0,3132.0,18985.0,52481.0,41.229698,6.88554,3,"","",2009.0,"","",97.0,1,97.0,1,97.0,0,1,5221,0.010309278350515464,0.010309278350515464,0.0,0.01935120328388917
"ETH","ET",1948.0,3132.0,18869.0,52320.0,40.703999,7.3081799,3,"","",2009.0,"","",103.0,1,103.0,1,103.0,0,1,5158,0.009708737864077669,0.009708737864077669,0.0,0.018229449186077322
"ETH","ET",1948.0,3132.0,18869.0,52319.0,40.703999,7.3081799,3,"","",2009.0,"","",103.0,1,103.0,1,103.0,0,1,5157,0.009708737864077669,0.009708737864077669,0.0,0.018229449186077322
"ETH","ET",1948.0,3132.0,18985.0,52482.0,41.4021145,9.4600195,2,"","",2009.0,"","",97.0,1,97.0,1,97.0,0,1,5224,0.010309278350515464,0.010309278350515464,0.0,0.01935120328388917
