"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3674.0,35335.0,35335.0,"",8.6273816,14.7225172,3,"","mapping",2005.0,11.0,14.0,60,5,60,0,60,0,2,27600,0.0833333333333333,0.0,0.0,0.0786163522012578,0.0,114,114,115
"NER","NE",3674.0,35335.0,35335.0,13804.0,8.6273816,14.7225172,3,"","",2006.0,"","",60,0,60,0,60,0,1,10278,0.0,0.0,0.0,0.0,0.0,115,115,114
"NER","NE",3674.0,35331.0,35331.0,"",9.873182,14.30087,1,"","mapping",2014.0,8.0,12.0,50,0,50,0,50,0,1,27544,0.0,0.0,0.0,0.0,39480.424596441815,116,116,116
"NER","NE",3673.0,35328.0,35328.0,"",2.33792,13.16053,3,"","sentinel site",2013.0,9.0,10.0,0,0,89,0,89,0,1,27504,"",0.0,0.0,"",0.0,117,117,118
"NER","NE",3673.0,35328.0,35328.0,"",2.33792,13.16053,3,"","sentinel site",2011.0,7.0,8.0,100,0,100,0,100,0,1,27503,0.0,0.0,0.0,0.0,0.0,118,118,117
"NER","NE",3670.0,35312.0,35312.0,55718.0,8.276,13.944,3,"","",2004.0,"","",60,0,60,0,60,0,2,10174,0.0,0.0,0.0,0.0,200.86158106206958,119,119,119
"NER","NE",3669.0,35302.0,35302.0,55600.0,3.6400001,13.104,3,"","",2004.0,"","",60,0,60,0,60,0,2,10117,0.0,0.0,0.0,0.0,1773.039753960077,120,120,120
"NER","NE",3673.0,35329.0,35329.0,"",1.612402,13.741774,3,"","sentinel site",2018.0,7.0,11.0,54,0,54,15,54,1,1,27510,0.0,0.2777777777777778,0.0185185185185185,0.2746719465797033,12694.565123798011,121,121,121
"NER","NE",3667.0,35297.0,35297.0,55705.0,7.9239998,15.694,3,"","",2004.0,"","",14,1,14,0,14,0,2,10086,0.0714285714285714,0.0,0.0,0.0673854447439353,7724.273488377784,122,122,122
"NER","NE",3674.0,35335.0,35335.0,"",8.8164325,14.707174,3,"","mapping",2005.0,7.0,10.0,60,0,60,0,60,0,2,27601,0.0,0.0,0.0,0.0,0.0,123,123,124
"NER","NE",3674.0,35335.0,35335.0,13805.0,8.8164325,14.707174,3,"","",2006.0,"","",60,0,60,0,60,0,1,10270,0.0,0.0,0.0,0.0,0.0,124,124,123
"NER","NE",3673.0,35325.0,35325.0,55612.0,2.9719999,14.087,3,"","",2004.0,"","",60,0,60,30,60,0,2,10217,0.0,0.5,0.0,0.4716981132075471,27.986036902517828,125,125,125
"NER","NE",3667.0,35297.0,35297.0,55706.0,7.961,17.384001,3,"","",2004.0,"","",60,0,60,0,60,0,2,10079,0.0,0.0,0.0,0.0,18986.586032307037,126,126,126
"NER","NE",3674.0,35332.0,35332.0,13769.0,8.9873561,13.7396906,3,"","",2006.0,"","",60,0,60,16,60,0,1,10257,0.0,0.2666666666666666,0.0,0.2515723270440251,572.3889119183199,127,127,127
"NER","NE",3674.0,35336.0,35336.0,"",8.982237,13.74016,3,"","sentinel site",2018.0,7.0,11.0,54,0,54,3,54,0,1,27611,0.0,0.0555555555555555,0.0,0.0524109014675052,572.3889119183199,128,128,128
